,SMILES_x,CID,canonical_CID,r_inhibition_at_20_uM,r_inhibition_at_50_uM,r_IC50,f_inhibition_at_20_uM,f_inhibition_at_50_uM,f_avg_IC50,f_avg_pIC50,f_max_inhibition_reading,f_min_inhibition_reading,f_hill_slope,f_R2,relative_solubility_at_20_uM,relative_solubility_at_100_uM,trypsin_IC50,acrylamide,chloroacetamide,series,Molecule Name,SMILES_y,Batch Created Date,Batch Updated Date,Date,stereochem comments
273,O=C(CCl)N1CCN(Cc2cccs2)CC1,LON-WEI-8f408cad-5,LON-WEI-8f408cad-5,,,3.31638346,94.48812,98.998055,6.192109178,5.208161395,97.83571,8.6571565,1.2304194,0.995005972,1,1,99,FALSE,TRUE,piperazine-chloroacetamide,CVD-0001868,ClCC(=O)N1CCN(Cc2cccs2)CC1,4/23/2020,5/21/2020,,
337,O=C(CCl)N1CCN(Cc2cccc3ccccc23)CC1,MED-COV-4280ac29-31,MED-COV-4280ac29-31,100.0210707,100.4236773,0.900345344,,98.5734,5.761792657,5.239442374,96.723135,10.955853,1.221470231,0.976013787,0.99,0.98,99,FALSE,TRUE,piperazine-chloroacetamide,CVD-0002737,ClCC(=O)N1CCN(Cc2cccc3ccccc23)CC1,4/23/2020,5/21/2020,,
419,Cc1cc(Cl)cc(CC2CCN(C(=O)CCl)CC2)c1,NIR-THE-0d6461ce-8,NIR-THE-0d6461ce-8,,137.8179032,,95.149355,98.327615,3.57437118,5.44680035,100.53665,13.877825,1.486966958,0.990861514,,,,FALSE,TRUE,,CVD-0002982,Cc1cc(Cl)cc(CC2CCN(CC2)C(=O)CCl)c1,4/23/2020,5/26/2020,,
331,CC1CN(Cc2cccc(Cl)c2)CCN1C(=O)CCl,MED-COV-4280ac29-13,MED-COV-4280ac29-13,94.56079831,100,99,88.25389,93.8952,7.733313865,5.111634363,88.69798,2.99495605,1.2921501,0.985446076,0.99,0.99,99,FALSE,TRUE,piperazine-chloroacetamide,CVD-0002718,CC1CN(Cc2cccc(Cl)c2)CCN1C(=O)CCl,4/23/2020,5/13/2020,,
405,N#Cc1cc(CN2CCN(C(=O)CCl)CC2)c2ccccc2c1,DAR-DIA-fb20be43-6,DAR-DIA-fb20be43-6,97.58360114,,1.162374391,83.637,93.13343,4.606205937,5.336656649,95.82364,10.6427665,1.373081047,0.990541099,0.85,0.79,99,FALSE,TRUE,piperazine-chloroacetamide,CVD-0000836,ClCC(=O)N1CCN(Cc2cc(cc3ccccc23)C#N)CC1,4/23/2020,5/21/2020,,
437,Cc1cc(C)c(C)c(S(=O)(=O)N2CCN(C(=O)c3cc(=O)[nH]c4ccccc34)CC2)c1C,MAT-POS-916a2c5a-3,MAT-POS-916a2c5a-3,81.6625,88.135,3.750653259,84.36679,92.87661,8.461593872,5.072547823,90.80177,7.771766,1.053003059,0.995929138,0.75,0.65,99,FALSE,FALSE,quinolones,CVD-0002708,Cc1cc(C)c(C)c(c1C)S(=O)(=O)N1CCN(CC1)C(=O)c1cc(=O)[nH]c2ccccc12,4/23/2020,5/12/2020,,
436,COc1ccccc1OCCNC(=O)c1cc(=O)[nH]c2ccccc12,MAT-POS-916a2c5a-2,MAT-POS-916a2c5a-2,70.0575,83.785,3.461595024,83.736015,92.667755,5.206505308,5.283453684,93.703885,10.67388,1.027777727,0.995493886,0.99,0.96,99,FALSE,FALSE,quinolones,CVD-0002707,COc1ccccc1OCCNC(=O)c1cc(=O)[nH]c2ccccc12,4/23/2020,5/12/2020,,
132,O=C(Nc1cccnc1)N(CCC1CCCCC1)c1cccc(Cl)c1,JOR-UNI-2fc98d0b-12,JOR-UNI-2fc98d0b-12,,78.94465384,,83.33063,88.791675,3.056671964,5.514751166,96.26291,22.31912,0.95499197,0.99344664,,,99,FALSE,FALSE,3-aminopyridine-like,CVD-0001724,Clc1cccc(c1)N(CCC1CCCCC1)C(=O)Nc1cccnc1,4/23/2020,5/26/2020,,
185,Cc1ccncc1NC(=O)Cc1cccc(Cl)c1,TRY-UNI-714a760b-6,TRY-UNI-714a760b-6,20.0252393,,13.89516492,61.634345,81.75696,24.5666192,4.609654606,81.55435,-4.869651,1.162928931,0.981362439,1,1,99,FALSE,FALSE,3-aminopyridine-like,CVD-0003631,Cc1ccncc1NC(=O)Cc1cccc(Cl)c1,4/23/2020,5/12/2020,,
428,Cc1cc(C)nc(NC2CCN(C(=O)CCl)CC2)n1,GIA-UNK-a79af1bc-1,GIA-UNK-a79af1bc-1,,132.2278219,,46.118945,81.476355,27.55663992,4.559773739,92.657195,1.242436,1.815839447,0.985545041,,,99,FALSE,TRUE,,CVD-0001317,Cc1cc(C)nc(NC2CCN(CC2)C(=O)CCl)n1,4/23/2020,5/26/2020,,
189,Cc1ccncc1NC(=O)C(C)c1cccc(Cl)c1,TRY-UNI-714a760b-18,TRY-UNI-714a760b-18,20.37830295,,12.96769311,58.02024,78.712695,26.17963769,4.582036368,79.93114,-4.3285785,1.142872402,0.977956982,1,1,99,FALSE,FALSE,3-aminopyridine-like,CVD-0003621,CC(C(=O)Nc1cnccc1C)c1cccc(Cl)c1,4/23/2020,5/12/2020,,
179,O=C(Nc1cnccc1Cl)c1cc(Cl)ccc1O,CHR-SOS-7098f804-10,CHR-SOS-7098f804-10,15.50161103,65.92763768,,66.7876,75.23331,24.1845156,4.616462607,84.17718,-3.98171525,1.403404773,0.98152692,1,0.98,99,FALSE,FALSE,,CVD-0000586,Oc1ccc(Cl)cc1C(=O)Nc1cnccc1Cl,4/23/2020,5/13/2020,,
292,O=C(CCl)N1CCN(Cc2cc(O)ccc2O)CC1,NEH-REV-107bcf72-5,NEH-REV-107bcf72-5,63.91800416,89.85380584,9.283150234,57.36118,74.50492,37.40705629,4.427046467,76.61412,-7.938211,1.446385413,0.93702879,0.99,0.99,99,FALSE,TRUE,piperazine-chloroacetamide,CVD-0002888,Oc1ccc(O)c(CN2CCN(CC2)C(=O)CCl)c1,4/23/2020,5/13/2020,,
408,CC(NC(=O)CCl)c1cc(F)cc(Cl)c1,DAV-CRI-3edb475e-6,DAV-CRI-3edb475e-6,,116.4269382,,40.56069,74.487765,27.94383202,4.553714038,89.50988,2.0222775,1.634721808,0.994710223,,,99,FALSE,TRUE,,CVD-0000886,CC(NC(=O)CCl)c1cc(F)cc(Cl)c1,4/23/2020,5/26/2020,,
555,N#Cc1cccc(NC(=O)Cc2cncc3ccccc23)c1,DAR-DIA-23aa0b97-19,DAR-DIA-23aa0b97-19,68.21,85.16,14.64109075,48.731525,73.019885,26.68012918,4.573812072,77.520905,-0.5902605,1.081587134,0.989360259,0.99,0.98,,FALSE,FALSE,3-aminopyridine-like,CVD-0000710,O=C(Cc1cncc2ccccc12)Nc1cccc(c1)C#N,4/23/2020,5/12/2020,,
445,O=C(CCl)N1CC2CC1CN2Cc1cccc(Cl)c1,DAN-LON-a5fc619e-8,DAN-LON-a5fc619e-8,100,100,0.655456165,82.2179,72.65968,2.166887489,5.664163638,90.192315,26.99243,0.788681792,0.889019157,0.99,1,,FALSE,TRUE,piperazine-chloroacetamide,CVD-0000654,ClCC(=O)N1CC2CC1CN2Cc1cccc(Cl)c1,4/23/2020,5/13/2020,,
516,CS(=O)(=O)N1CCN(C(=O)CCl)CC1c1ccccc1,DUN-NEW-f8ce3686-22,DUN-NEW-f8ce3686-22,87.54491409,95.91916798,3.308583295,64.63647,69.45781,10.56235439,4.976239265,88.76103,0.3909205,1.343750637,0.990291697,1,1,99,FALSE,TRUE,piperazine-chloroacetamide,CVD-0001111,CS(=O)(=O)N1CCN(CC1c1ccccc1)C(=O)CCl,4/23/2020,5/13/2020,,
297,O=C(CCl)N1CCN(Cc2cc(Cl)cc(Cl)c2)CC1,PAU-UNI-8cdd41c7-1,PAU-UNI-8cdd41c7-1,100,100,0.475467582,76.88183,69.11789,1.889434296,5.723668206,88.682215,25.570615,0.935119025,0.939187371,1,1,99,FALSE,TRUE,piperazine-chloroacetamide,CVD-0003037,ClCC(=O)N1CCN(Cc2cc(Cl)cc(Cl)c2)CC1,4/23/2020,5/13/2020,,
466,C=CC(=O)N(c1ccc(C(C)OC)cc1)C(C(=O)Nc1cccc(CC)c1)c1cccnc1,LON-WEI-b8d98729-17,LON-WEI-b8d98729-17,4.444303831,,99,36.56934,63.733785,66.38703475,4.177916729,53.07427,-10.427937,1.032812665,0.878762463,0.92,0.82,99,TRUE,FALSE,3-aminopyridine-like,CVD-0001880,CCc1cccc(NC(=O)C(N(C(=O)C=C)c2ccc(cc2)C(C)OC)c2cccnc2)c1,4/23/2020,5/12/2020,,
299,CS(=O)(=O)N1CCc2ccc(CN3CCN(C(=O)CCl)CC3)cc2C1,TAM-UNI-d1c3dd9f-5,TAM-UNI-d1c3dd9f-5,,71.79979049,,29.93032,62.504155,40.18543341,4.395931343,81.61782,-2.7098795,1.701149467,0.995705561,,,99,FALSE,TRUE,piperazine-chloroacetamide,CVD-0003584,CS(=O)(=O)N1CCc2ccc(CN3CCN(CC3)C(=O)CCl)cc2C1,4/23/2020,5/26/2020,,
191,Cc1ccncc1NC(=O)C(C)c1cccc(C#N)c1,TRY-UNI-714a760b-22,TRY-UNI-714a760b-22,21.0225,58.415,45.31192342,35.40893,61.411195,54.9421037,4.260094716,63.944905,-0.59026065,1.056200615,0.993968569,1,1,99,FALSE,FALSE,3-aminopyridine-like,CVD-0003626,CC(C(=O)Nc1cnccc1C)c1cccc(c1)C#N,4/23/2020,5/12/2020,,
307,CC(CCc1ccccc1)N1CCN(C(=O)CCl)CC1,MAK-UNK-af83ef51-2,MAK-UNK-af83ef51-2,62.55193274,91.09129704,13.58302742,44.96813,60.7384,20.27072446,4.69313073,86.39975,-4.3474145,1.498954361,0.98893016,1,1,99,FALSE,TRUE,piperazine-chloroacetamide,CVD-0002492,CC(CCc1ccccc1)N1CCN(CC1)C(=O)CCl,4/23/2020,5/13/2020,,
476,C=CC(=O)N(c1ccc(C(F)(F)F)cc1)C(C(=O)Nc1ccc(OC)cc1)c1cccnc1,LON-WEI-b8d98729-27,LON-WEI-b8d98729-27,59.98080035,,26.94728406,40.32765,60.67628,45.99567282,4.337283024,69.30644,-5.6566645,1.138492729,0.951195258,0.84,0.75,99,TRUE,FALSE,3-aminopyridine-like,CVD-0001891,COc1ccc(NC(=O)C(N(C(=O)C=C)c2ccc(cc2)C(F)(F)F)c2cccnc2)cc1,4/23/2020,5/12/2020,,
182,O=C(Nc1cccnc1)c1cc(Cl)ccc1-c1ccccc1,CHR-SOS-7098f804-14,CHR-SOS-7098f804-14,2.129024029,,,47.4339,60.36814,39.06878163,4.408170132,69.68023,-6.970283,1.134584205,0.954209724,1,0.97,99,FALSE,FALSE,,CVD-0000590,Clc1ccc(-c2ccccc2)c(c1)C(=O)Nc1cccnc1,4/23/2020,5/21/2020,,
284,Cc1ccc(S(=O)(=O)NC2CCN(C(=O)CCl)CC2)cc1,WAR-XCH-79d12f6e-4,WAR-XCH-79d12f6e-4,54.86969272,,18.47845727,25.13284,59.26949,33.54103024,4.474423602,81.00129,1.2177005,1.253045612,0.968675541,1,1.01,99,FALSE,TRUE,,CVD-0003749,Cc1ccc(cc1)S(=O)(=O)NC1CCN(CC1)C(=O)CCl,4/23/2020,5/21/2020,,
489,C=CC(=O)N(c1ccc2ncsc2c1)C(C(=O)Nc1cccc(CC)c1)c1cccnc1,LON-WEI-b8d98729-38,LON-WEI-b8d98729-38,16.63309269,,32.03061412,33.876555,59.258365,59.02153277,4.228989516,61.141165,-7.32907,1.240813133,0.952877119,0.8,0.63,99,TRUE,FALSE,3-aminopyridine-like,CVD-0001901,CCc1cccc(NC(=O)C(N(C(=O)C=C)c2ccc3ncsc3c2)c2cccnc2)c1,4/23/2020,5/12/2020,,
186,Cc1ccncc1NC(=O)Nc1cccc(Cl)c1,TRY-UNI-714a760b-12,TRY-UNI-714a760b-12,25.5825,64.135,45.68926279,32.14497,58.708675,64.41361051,4.191022357,60.1574,2.1642895,0.989723734,0.985751106,0.99,0.96,99,FALSE,FALSE,3-aminopyridine-like,CVD-0003615,Cc1ccncc1NC(=O)Nc1cccc(Cl)c1,4/23/2020,5/12/2020,,
190,Cc1ccncc1NC(=O)Cc1cccc(C#N)c1,TRY-UNI-714a760b-20,TRY-UNI-714a760b-20,20.495,52.68,43.84705099,33.561645,58.318795,61.33027201,4.212325109,59.517955,-1.5248405,1.120348487,0.97492953,1,1.01,99,FALSE,FALSE,3-aminopyridine-like,CVD-0003624,Cc1ccncc1NC(=O)Cc1cccc(c1)C#N,4/23/2020,5/12/2020,,
556,O=C(Cc1cncc2ccccc12)Nc1ccccc1,DAR-DIA-23aa0b97-20,DAR-DIA-23aa0b97-20,27.82,62.475,45.07746921,31.64337,57.79387,57.46966969,4.240561299,61.19036,-1.86915885,1.105421237,0.986546276,1,0.98,99,FALSE,FALSE,3-aminopyridine-like,CVD-0000712,O=C(Cc1cncc2ccccc12)Nc1ccccc1,4/23/2020,5/12/2020,,
548,N#Cc1cccc(NC(=O)Nc2cncc(N)c2)c1,DAR-DIA-23aa0b97-8,DAR-DIA-23aa0b97-8,9.085,48.4,,,57.24192,54.27296398,4.26541646,63.23729,1.3849385,0.94500306,0.936945209,1,1,99,FALSE,FALSE,3-aminopyridine-like,CVD-0000717,Nc1cncc(NC(=O)Nc2cccc(c2)C#N)c1,4/23/2020,5/12/2020,,
345,Cn1nncc1CC(=O)NC(c1ccccc1)c1nc2ccccc2n1C,BAR-COM-4e090d3a-6,BAR-COM-4e090d3a-6,0,0,,,54.13116,35.68868486,4.447469456,80.957095,-4.00643,1.404957526,0.954970115,1,1,99,FALSE,FALSE,,CVD-0000282,Cn1nncc1CC(=O)NC(c1nc2ccccc2n1C)c1ccccc1,4/23/2020,5/12/2020,,
438,O=C(c1cc(=O)[nH]c2ccccc12)N1CCN(c2ccccc2)CC1,MAT-POS-916a2c5a-4,MAT-POS-916a2c5a-4,66.63,78.785,10.4027223,,54.07172,27.52489506,4.560274328,77.02485,1.3602075,1.001073351,0.968806264,1,1,99,FALSE,FALSE,quinolones,CVD-0002709,O=C(N1CCN(CC1)c1ccccc1)c1cc(=O)[nH]c2ccccc12,4/23/2020,5/12/2020,,
335,O=C(CCl)N1CCN(Cc2cnc(Cc3ccccc3)s2)CC1,MED-COV-4280ac29-25,MED-COV-4280ac29-25,,97.56642156,,41.46816,51.639165,29.75442287,4.526448469,92.20718,-1.542912,1.897670998,0.989561283,,,99,FALSE,TRUE,piperazine-chloroacetamide,CVD-0002730,ClCC(=O)N1CCN(Cc2cnc(Cc3ccccc3)s2)CC1,4/23/2020,5/26/2020,,
407,O=C(CCl)NC(CO)c1cccc(Cl)c1,DAV-CRI-3edb475e-4,DAV-CRI-3edb475e-4,16.04082633,45.33520481,,,51.57519,99.03,,43.57611,-24.026214,1.141585401,0.670777292,1,0.99,99,FALSE,TRUE,,CVD-0000884,OCC(NC(=O)CCl)c1cccc(Cl)c1,4/23/2020,5/12/2020,,
264,O=C(CCl)Nc1cccc(N2CCCC2=O)c1,LON-WEI-8f408cad-1,LON-WEI-8f408cad-1,,,99,27.11235,51.42713,70.32858306,4.152868132,57.50123,-7.6242005,1.259042407,0.943139826,1,1,99,FALSE,TRUE,,CVD-0001862,ClCC(=O)Nc1cccc(c1)N1CCCC1=O,4/23/2020,5/21/2020,,
355,O=C(NC(Cc1ccccc1)C(=O)NCc1ccno1)OCc1ccccc1,BAR-COM-4e090d3a-19,BAR-COM-4e090d3a-19,0,0,,,50.62413,,,,,,,0.98,0.85,,FALSE,FALSE,,CVD-0000238,O=C(NC(Cc1ccccc1)C(=O)NCc1ccno1)OCc1ccccc1,4/23/2020,5/12/2020,,
386,O=C(Nc1ccccc1NS(=O)(=O)c1ccc(F)cc1)C(O)c1cccnc1,BAR-COM-4e090d3a-57,BAR-COM-4e090d3a-57,0,0,,,49.7127,,,,,,,1,1,,FALSE,FALSE,3-aminopyridine-like,CVD-0000279,OC(C(=O)Nc1ccccc1NS(=O)(=O)c1ccc(F)cc1)c1cccnc1,4/23/2020,5/12/2020,,
131,O=C(Nc1cccnc1)N(CCN1CCOCC1)c1cccc(Cl)c1,JOR-UNI-2fc98d0b-6,JOR-UNI-2fc98d0b-6,,59.35943886,,24.350455,49.6179,,,,,,,,,,FALSE,FALSE,3-aminopyridine-like,CVD-0001734,Clc1cccc(c1)N(CCN1CCOCC1)C(=O)Nc1cccnc1,4/23/2020,5/26/2020,,
409,CS(=O)(=O)NCC[C@H]1CCCCN1CC(=O)Nc1cccnc1,BEN-DND-362d364a-10,BEN-DND-362d364a-10,-1.62,-1.205,,,48.92015,,,,,,,1,1,,FALSE,FALSE,3-aminopyridine-like,CVD-0000311,CS(=O)(=O)NCC[C@H]1CCCCN1CC(=O)Nc1cccnc1,4/23/2020,5/12/2020,,
411,CCC(C)(C)CCN(Cc1ccsc1)C(=O)Cn1nnc2ccccc21,RUT-UNI-630c5802-20,RUT-UNI-630c5802-20,-4.785,40.085,,,48.30592,78.45796959,4.105362935,47.681465,-10.8074665,0.837731331,0.757084463,0.99,0.73,99,FALSE,FALSE,,CVD-0003222,CCC(C)(C)CCN(Cc1ccsc1)C(=O)Cn1nnc2ccccc12,4/23/2020,5/12/2020,,
549,N#Cc1cccc(NC(=O)Nc2c[nH]c3ncccc23)c1,DAR-DIA-23aa0b97-11,DAR-DIA-23aa0b97-11,0,19.905,,,47.31524,63.5549252,4.196850788,59.78731,-4.0929875,1.024472234,0.916669942,1,0.91,99,FALSE,FALSE,3-aminopyridine-like,CVD-0000702,O=C(Nc1c[nH]c2ncccc12)Nc1cccc(c1)C#N,4/23/2020,5/12/2020,,
281,CCc1ccccc1Nc1nc(N)nc(CSc2nnc3ccccn23)n1,SER-UNI-985a0e14-4,SER-UNI-985a0e14-4,-0.805194602,3.366880003,,20.90122,46.58644,,,,,,,0.99,0.95,,FALSE,FALSE,,CVD-0003369,CCc1ccccc1Nc1nc(N)nc(CSc2nnc3ccccn23)n1,4/23/2020,5/13/2020,,
192,Cc1ccncc1NC(=O)Nc1cccc(C#N)c1,TRY-UNI-714a760b-24,TRY-UNI-714a760b-24,23.7925,55.705,49.32921305,19.37242,44.289915,99.01,,29.380485,-14.4305685,0.90847619,0.590879935,1,0.97,99,FALSE,FALSE,3-aminopyridine-like,CVD-0003628,Cc1ccncc1NC(=O)Nc1cccc(c1)C#N,4/23/2020,5/12/2020,,
538,N#Cc1cc(Cl)cc(NC(=O)Nc2cccnc2)c1,WAR-XCH-eb7b662f-2,WAR-XCH-eb7b662f-2,6.7825,36.54,,23.03763,43.902085,99.01,,37.82614,-14.838629,1.053792685,0.731609476,0.99,0.88,99,FALSE,FALSE,3-aminopyridine-like,CVD-0003945,Clc1cc(NC(=O)Nc2cccnc2)cc(c1)C#N,4/23/2020,5/12/2020,,
301,CC(=O)Nc1ccc(C#N)cc1CN1CCN(C(=O)CCl)CC1,TAM-UNI-d1c3dd9f-18,TAM-UNI-d1c3dd9f-18,59.2476534,,17.49241139,20.5609,43.35726,,,,,,,1,1.01,,FALSE,TRUE,piperazine-chloroacetamide,CVD-0003575,CC(=O)Nc1ccc(cc1CN1CCN(CC1)C(=O)CCl)C#N,4/23/2020,5/21/2020,,
464,C=CC(=O)N(c1cc(C(C)(C)C)on1)C(C(=O)Nc1cccc(CC)c1)c1cccnc1,LON-WEI-b8d98729-15,LON-WEI-b8d98729-15,6.786053127,,,15.58244,43.080275,99.01,,31.408435,-11.450474,0.988062384,0.684779356,0.87,0.76,99,TRUE,FALSE,3-aminopyridine-like,CVD-0001878,CCc1cccc(NC(=O)C(N(C(=O)C=C)c2cc(on2)C(C)(C)C)c2cccnc2)c1,4/23/2020,5/12/2020,,
304,CC(=O)N[C@@H](Cc1ccc(O)cc1)C(=O)NC(CN1CCN(C(=O)CCl)CC1)c1ccccc1,NIM-UNI-ed9fc491-4,NIM-UNI-ed9fc491-4,,,,21.328235,41.166635,,,,,,,,,,FALSE,TRUE,Ugi,CVD-0002971,CC(=O)N[C@@H](Cc1ccc(O)cc1)C(=O)NC(CN1CCN(CC1)C(=O)CCl)c1ccccc1,4/23/2020,6/2/2020,,
442,CC(C)N(C)C(=O)C1CCN(C(=O)CCl)CC1,VIR-GIT-7b3d3065-3,VIR-GIT-7b3d3065-3,-0.097614029,,,17.262575,38.7793,,,,,,,1,1,,FALSE,TRUE,,CVD-0003677,CC(C)N(C)C(=O)C1CCN(CC1)C(=O)CCl,4/23/2020,5/21/2020,,
490,C=CC(=O)N(c1ccc(C(F)(F)F)cc1)C(C(=O)Nc1c(C)cccc1CC)c1cccnc1,LON-WEI-b8d98729-39,LON-WEI-b8d98729-39,23.93374508,,,22.265165,38.632575,97.78883491,4.009710728,46.17474,-16.93074,1.358785554,0.813294695,0.89,0.79,,TRUE,FALSE,3-aminopyridine-like,CVD-0001902,CCc1cccc(C)c1NC(=O)C(N(C(=O)C=C)c1ccc(cc1)C(F)(F)F)c1cccnc1,4/23/2020,5/12/2020,,
381,Cn1cncc1CNC(=O)Nc1cccc(OCC(F)F)n1,BAR-COM-4e090d3a-52,BAR-COM-4e090d3a-52,0,28.35,,,36.17991,,,,,,,1,1,,FALSE,FALSE,,CVD-0000274,Cn1cncc1CNC(=O)Nc1cccc(OCC(F)F)n1,4/23/2020,5/12/2020,,
169,CS(=O)(=O)Nc1cccc(C(=O)Oc2cccc(N3CCCC3=O)c2)c1,MAK-UNK-9159f8ed-7,MAK-UNK-9159f8ed-7,0,11.23,,,35.68456,,,,,,,0.99,0.86,,FALSE,FALSE,,CVD-0002336,CS(=O)(=O)Nc1cccc(c1)C(=O)Oc1cccc(c1)N1CCCC1=O,4/23/2020,5/12/2020,,
458,C=CC(=O)N(c1ccc2ncsc2c1)C(C(=O)Nc1ccc(Br)cc1)c1cccnc1,LON-WEI-b8d98729-9,LON-WEI-b8d98729-9,3.05427925,,,17.384325,34.85545,,,,,,,0.75,0.64,,TRUE,FALSE,3-aminopyridine-like,CVD-0001916,Brc1ccc(NC(=O)C(N(C(=O)C=C)c2ccc3ncsc3c2)c2cccnc2)cc1,4/23/2020,5/12/2020,,
434,CNCc1c[nH]c2ccc(F)cc12,DAR-DIA-eace69ff-36,DAR-DIA-eace69ff-36,3.085140635,16.13709772,,,32.73232,,,,,,,0.99,1,,FALSE,FALSE,,CVD-0000815,CNCc1c[nH]c2ccc(F)cc12,4/23/2020,5/12/2020,,
300,O=C(CCl)N1CCN(Cc2cccc(CNC(=O)N3CCOCC3)c2)CC1,TAM-UNI-d1c3dd9f-12,TAM-UNI-d1c3dd9f-12,,,,11.710765,32.381265,,,,,,,,,,FALSE,TRUE,piperazine-chloroacetamide,CVD-0003569,ClCC(=O)N1CCN(Cc2cccc(CNC(=O)N3CCOCC3)c2)CC1,4/23/2020,6/2/2020,,
